time [ns],ax [m s-2],ay [m s-2],az [m s-2],p [rad/s],q [rad/s],r [rad/s]
0,0.5269042968750001,9.0100634765625,-0.0143701171875,0.09906958422856926,-0.027696873256229475,-0.1757686153004729
2996000,-2.6728417968750002,7.5251513671875,-5.206772460937501,-0.10120011310063265,-0.15978966540475428,-0.41438783232681586
4994000,1.6621435546875,9.3645263671875,-1.063388671875,0.10226537753666434,-0.039414784133172724,0.4058657168385623
7991000,1.9591259765625002,5.36484375,-2.7351123046875,-0.0660463908727759,-0.004261057484052456,0.043675841877299504
8990000,-0.737666015625,7.6640625,-3.745810546875,-0.18429073078872646,-0.12783172400142503,-0.4367583854834814
10988000,-3.65958984375,10.973979492187501,-2.1603076171875,0.004261057484052456,-0.18855178853285323,-0.692421883420602
12986000,-0.1676513671875,7.582631835937501,-1.1879296875,0.1800296730445997,0.03302319543638795,0.26205503461904023
14983000,3.7697607421875,6.0641894531250005,-2.6584716796875,-0.06178533312864912,0.056459010948490644,0.7872303516483955
17980000,-1.6429833984375002,10.1692529296875,-1.599873046875,0.019174759848570515,-0.22264025048586747,-0.8426241023220437
18979000,-4.291875,10.59556640625,-1.8010546875000002,0.14168016999221547,-0.1757686153004729,-1.0343717008077489
20977000,-2.4333398437500002,7.5347314453125005,-2.9841943359375,0.1800296730445997,0.056459010948490644,0.09587379092047416
22975000,5.120551757812501,6.677314453125001,-2.3135888671875002,-0.03195793100035626,-0.012783172192083043,1.1068096824579041
26970000,-5.1588720703125,11.007509765625,-2.4333398437500002,0.15020228548046904,-0.11398328633301298,-1.2186625148202594
28968000,-2.4477099609375,3.35302734375,-4.014052734375,0.05858953982055403,0.007456850532073217,0.14594122773634224
30966000,4.646337890625,11.4577734375,-1.2070898437500002,-0.2588592413109451,-0.07350324608618697,0.9001483818677551
33962000,-2.9746142578125,5.1109716796875,-2.787802734375,0.18855178853285323,-0.08415589044650393,-0.7904261449564907
36959000,1.0106982421875002,9.551337890625,-2.7303222656250004,-0.22903183710205768,-0.08628641931856731,0.3153182730653818
38957000,3.19974609375,13.843212890625,-0.18202148437500001,-0.0031957930480207607,-0.03302319543638795,0.3259709174256987
40955000,-0.63228515625,-0.1580712890625,-3.9422021484375,0.25779397687491346,-0.03089266656432456,-0.2535329191307866
42953000,-1.1879296875,9.642348632812501,-2.2177880859375003,-0.18216020191666307,-0.14061490555618378,-0.2503371258226916
45949000,-0.6945556640625,10.997929687500001,-1.7004638671875,0.18855178853285323,-0.02024002428460221,-0.02450107994813439
47947000,2.2704785156250002,-1.07296875,-5.034331054687501,0.2269013082299943,-0.001065264371013114,0.3408846195301425
48946000,3.3578173828125,2.31837890625,-3.67875,-0.03834951969714103,-0.05113268876833217,0.371777254885548
50944000,-0.4358935546875,16.8178271484375,0.19639160156250002,-0.23648868815427956,-0.14168016999221547,-0.36964672601348464
53941000,-2.9698242187500004,1.0394384765625,-5.8677978515625,0.23435815928221612,-0.04154531300523611,-0.27803400115951565
54939000,1.0298583984375,1.6094531250000002,-4.7181884765625,0.09480852648444246,-0.017044229936209822,0.459128938640147
57936000,3.42966796875,11.6733251953125,-0.18681152343750002,-0.20879181281745546,-0.05752427538452234,0.14487596330031055
58935000,-0.7616162109375001,10.8206982421875,-2.3806494140625003,-0.11291802189698129,-0.1555286076606275,-0.7595334763115714
59934000,-4.3445654296875,7.9802050781250005,-4.2679248046875005,0.004261057484052456,-0.2002696973292019,-1.2623383566975588
62931000,0.8238867187500001,9.819580078125,-0.38320312500000003,-0.005326322180158476,0.02982740212829287,0.7595334763115714
64928000,5.819897460937501,9.335786132812501,-1.1735595703125001,-0.11930960851317148,0.025566344384166086,0.781904029468237
67925000,-4.50263671875,7.846083984375,-3.420087890625,0.08628641931856731,-0.18961705296888492,-1.068460162760763
68924000,-4.5074267578125005,9.5848681640625,-1.7483642578125,0.12357066625729823,-0.1118527574609496,-0.6423544549271123
70922000,1.7483642578125,9.196875,-1.1639794921875,-0.056459010948490644,0.05752427538452234,0.6657902725198095
72920000,3.554208984375,8.3873583984375,-3.650009765625,-0.13102751730952011,-0.05006742433230048,0.34834147058236437
77914000,-1.4992822265625,11.6350048828125,-1.8633251953125,-0.138484368361742,0.0,-0.022370551076071
78913000,-0.0622705078125,10.480605468750001,-3.1805859375,-0.15339807878856412,-0.004261057484052456,0.2695118856712621
79912000,1.5184423828125,7.4006103515625,-3.6835400390625,-0.07350324608618697,-0.0458063665881737,0.4101267745826891
82909000,1.36037109375,8.444838867187501,-0.5891748046875,-0.046871631024205385,-0.07989483270237714,-0.19813916845713853
86904000,-1.1304492187500002,4.981640625,-4.77087890625,0.046871631024205385,-0.07563377495825037,0.07563377495825037
88902000,4.27271484375,8.344248046875,-1.1352392578125001,0.014913701064146434,-0.046871631024205385,0.5262405981101438
90900000,0.871787109375,9.6327685546875,-1.082548828125,-0.022370551076071,-0.010652644360316953,-0.10546117084475942
92898000,-3.4248779296875003,7.10841796875,-4.3828857421875,-0.09587379092047416,-0.1555286076606275,-0.7084007833820501
94895000,-1.1448193359375,8.8472021484375,-2.9458740234375003,-0.10759169971682281,-0.10972222858888621,-0.07350324608618697
97892000,2.9075537109375,5.9444384765625005,-1.9495458984375,0.009587379924285258,0.07350324608618697,0.5624596222247351
