time [ns],x [m],y [m],z [m],a [rad],b [rad],c [rad],d [rad]
700000000,-0.451107,0.912676,2.860195,-0.122478,0.9863370000000001,0.099971,0.046301
712499999,-0.45049300000000003,0.9134459999999999,2.859713,-0.12164100000000001,0.986771,0.09653300000000001,0.046564
724999999,-0.45010100000000003,0.9142879999999999,2.859393,-0.114257,0.9885959999999999,0.086564,0.046151
737500000,-0.449304,0.9149879999999999,2.858823,-0.116309,0.988682,0.084176,0.043526999999999996
750000000,-0.44887200000000005,0.915903,2.858532,-0.11150499999999999,0.990143,0.074671,0.040085
762500000,-0.44847299999999996,0.917158,2.858445,-0.097639,0.992942,0.056741,0.036231
774999999,-0.44642200000000004,0.9200379999999999,2.857194,-0.112955,0.988671,0.084832,0.050741
787499999,-0.44509799999999994,0.9223520000000001,2.8564,-0.117041,0.9880180000000001,0.088644,0.04759
800000000,-0.44473900000000005,0.92427,2.8561330000000003,-0.10211100000000001,0.9912639999999999,0.07235499999999999,0.041652
812500000,-0.44410200000000005,0.926068,2.85573,-0.098039,0.9920700000000001,0.06935,0.037093
825000000,-0.44349099999999997,0.9275040000000001,2.855432,-0.089226,0.993661,0.059194000000000004,0.034241
837499999,-0.44181400000000004,0.9308209999999999,2.854359,-0.084856,0.992542,0.070501,0.051864999999999994
849999999,-0.441392,0.9323549999999999,2.8541369999999997,-0.072436,0.9949870000000001,0.052520000000000004,0.044680000000000004
862500000,-0.44023100000000004,0.9341209999999999,2.853574,-0.074654,0.995384,0.047345,0.037374
875000000,-0.439417,0.936514,2.8530580000000003,-0.072679,0.9956450000000001,0.048148,0.033026
887500000,-0.438184,0.939657,2.85225,-0.075227,0.9952559999999999,0.052051,0.033136
899999999,-0.43423,0.9472940000000001,2.849768,-0.10958599999999999,0.9883040000000001,0.094791,0.047546
912499999,-0.432594,0.9511280000000001,2.8486130000000003,-0.111853,0.9879690000000001,0.09272000000000001,0.052999
925000000,-0.43177200000000004,0.9535450000000001,2.8479419999999998,-0.110661,0.989626,0.082898,0.039031
