Sequence,Obstacle x,Obstacle y,Obstacle z,Lux,OptiTrack initial y rotation offset,Incl. Video
227,1.1916,1.9631,0.009631,100,-2.00712863979348,1
228,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
228,1.1916,1.9631,0.009631,100,-2.00712863979348,1
229,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
229,1.1916,1.9631,0.009631,100,-2.00712863979348,1
230,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
230,1.1916,1.9631,0.009631,100,-2.00712863979348,1
231,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
231,1.1916,1.9631,0.009631,100,-2.00712863979348,1
232,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
232,1.1916,1.9631,0.009631,100,-2.00712863979348,1
233,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
233,1.1916,1.9631,0.009631,100,-2.00712863979348,1
234,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
234,1.1916,1.9631,0.009631,100,-2.00712863979348,1
235,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
235,1.1916,1.9631,0.009631,100,-2.00712863979348,1
236,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
236,1.1916,1.9631,0.009631,100,-2.00712863979348,1
237,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
237,1.1916,1.9631,0.009631,100,-2.00712863979348,1
238,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
238,1.1916,1.9631,0.009631,100,-2.00712863979348,1
239,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
239,1.1916,1.9631,0.009631,100,-2.00712863979348,1
240,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
240,1.1916,1.9631,0.009631,100,-2.00712863979348,1
241,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
241,1.1916,1.9631,0.009631,100,-2.00712863979348,1
242,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
242,1.1916,1.9631,0.009631,100,-2.00712863979348,1
243,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
243,1.1916,1.9631,0.009631,100,-2.00712863979348,1
244,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
244,1.1916,1.9631,0.009631,100,-2.00712863979348,1
245,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
245,1.1916,1.9631,0.009631,100,-2.00712863979348,1
246,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
246,1.1916,1.9631,0.009631,100,-2.00712863979348,1
247,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
247,1.1916,1.9631,0.009631,100,-2.00712863979348,1
248,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
248,1.1916,1.9631,0.009631,100,-2.00712863979348,1
249,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
249,1.1916,1.9631,0.009631,100,-2.00712863979348,1
250,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
250,1.1916,1.9631,0.009631,100,-2.00712863979348,1
251,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
251,1.1916,1.9631,0.009631,100,-2.00712863979348,1
252,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
252,1.1916,1.9631,0.009631,100,-2.00712863979348,1
253,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
253,1.1916,1.9631,0.009631,100,-2.00712863979348,1
254,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
254,1.1916,1.9631,0.009631,100,-2.00712863979348,1
255,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
255,1.1916,1.9631,0.009631,100,-2.00712863979348,1
256,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
256,1.1916,1.9631,0.009631,100,-2.00712863979348,1
257,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
257,1.1916,1.9631,0.009631,100,-2.00712863979348,1
258,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
258,1.1916,1.9631,0.009631,100,-2.00712863979348,1
259,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
259,1.1916,1.9631,0.009631,100,-2.00712863979348,1
260,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
260,1.1916,1.9631,0.009631,100,-2.00712863979348,1
261,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
261,1.1916,1.9631,0.009631,100,-1.74532925199433,1
262,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
262,1.1916,1.9631,0.009631,100,-1.74532925199433,1
263,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
263,1.1916,1.9631,0.009631,100,-1.74532925199433,1
264,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
264,1.1916,1.9631,0.009631,100,-1.74532925199433,1
265,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
265,1.1916,1.9631,0.009631,100,-1.74532925199433,1
266,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
266,1.1916,1.9631,0.009631,100,-1.74532925199433,1
267,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
267,1.1916,1.9631,0.009631,100,-1.74532925199433,1
268,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
268,1.1916,1.9631,0.009631,100,-1.74532925199433,1
269,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
269,1.1916,1.9631,0.009631,100,-1.74532925199433,1
270,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
270,1.1916,1.9631,0.009631,100,-1.74532925199433,1
271,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
271,1.1916,1.9631,0.009631,100,-1.74532925199433,1
272,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
272,1.1916,1.9631,0.009631,100,-1.74532925199433,1
273,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
273,1.1916,1.9631,0.009631,100,-1.74532925199433,1
274,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
274,1.1916,1.9631,0.009631,100,-1.74532925199433,1
275,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
275,1.1916,1.9631,0.009631,100,-1.74532925199433,1
276,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
276,1.1916,1.9631,0.009631,100,-1.74532925199433,1
277,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
277,1.1916,1.9631,0.009631,100,-1.74532925199433,1
278,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
278,1.1916,1.9631,0.009631,100,-1.74532925199433,1
279,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
279,1.1916,1.9631,0.009631,100,-1.74532925199433,1
280,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
280,1.1916,1.9631,0.009631,100,-1.74532925199433,1
281,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
281,1.1916,1.9631,0.009631,100,-1.74532925199433,1
282,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
282,1.1916,1.9631,0.009631,100,-1.74532925199433,1
283,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
283,1.1916,1.9631,0.009631,100,-1.74532925199433,1
284,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
284,1.1916,1.9631,0.009631,100,-1.74532925199433,1
285,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
285,1.1916,1.9631,0.009631,100,-1.74532925199433,1
286,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
286,1.1916,1.9631,0.009631,100,-1.74532925199433,1
287,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
287,1.1916,1.9631,0.009631,100,-1.74532925199433,1
288,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
288,1.1916,1.9631,0.009631,100,-1.74532925199433,1
289,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
289,1.1916,1.9631,0.009631,100,-1.74532925199433,1
290,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
290,1.1916,1.9631,0.009631,100,-1.74532925199433,1
291,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
291,1.1916,1.9631,0.009631,100,-1.74532925199433,1
292,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
292,1.1916,1.9631,0.009631,100,-1.74532925199433,1
293,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
293,1.1916,1.9631,0.009631,100,-1.74532925199433,1
294,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
294,1.1916,1.9631,0.009631,100,-1.74532925199433,1
295,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
295,1.1916,1.9631,0.009631,100,-1.74532925199433,1
296,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
296,1.1916,1.9631,0.009631,100,-1.74532925199433,1
297,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
297,1.1916,1.9631,0.009631,100,-1.74532925199433,1
298,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
298,1.1916,1.9631,0.009631,100,-1.74532925199433,1
299,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
299,1.1916,1.9631,0.009631,100,-1.74532925199433,1
300,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
300,1.1916,1.9631,0.009631,100,-1.74532925199433,1
301,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
301,1.1916,1.9631,0.009631,100,-1.74532925199433,1
302,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
302,1.1916,1.9631,0.009631,100,-1.74532925199433,1
303,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
303,1.1916,1.9631,0.009631,100,-1.74532925199433,1
304,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
304,1.1916,1.9631,0.009631,100,-1.74532925199433,1
305,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
305,1.1916,1.9631,0.009631,100,-1.74532925199433,1
306,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
306,1.1916,1.9631,0.009631,100,-1.74532925199433,1
307,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
307,1.1916,1.9631,0.009631,100,-1.74532925199433,1
308,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
308,1.1916,1.9631,0.009631,100,-1.74532925199433,1
309,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
309,1.1916,1.9631,0.009631,100,-1.74532925199433,1
310,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
310,1.1916,1.9631,0.009631,100,-1.74532925199433,1
311,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
311,1.1916,1.9631,0.009631,100,-1.74532925199433,1
312,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
312,1.1916,1.9631,0.009631,100,-1.74532925199433,1
313,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
313,1.1916,1.9631,0.009631,100,-1.74532925199433,1
314,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
314,1.1916,1.9631,0.009631,100,-1.74532925199433,1
315,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
315,1.1916,1.9631,0.009631,100,-1.74532925199433,1
316,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
316,1.1916,1.9631,0.009631,100,-1.74532925199433,1
317,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
317,1.1916,1.9631,0.009631,100,-1.74532925199433,1
318,-0.90415,2.1311,0.14613,100,-1.74532925199433,1
