time [ns],x [m],y [m],z [m],a [rad],b [rad],c [rad],d [rad]
0,3.8808839999999996,0.920524,1.604545,-0.018755,0.732589,0.164826,-0.660147
12499999,3.880493,0.9243889999999999,1.603861,-0.023864,0.731352,0.172041,-0.659512
24999999,3.88,0.9274309999999999,1.603612,-0.019148,0.732244,0.17113599999999998,-0.6589119999999999
37500000,3.8799629999999996,0.929724,1.603478,-0.021379,0.733621,0.149534,-0.662558
50000000,3.879399,0.9331870000000001,1.6027200000000001,-0.026396,0.730583,0.166496,-0.661687
62500000,3.878857,0.935933,1.6022020000000001,-0.019937,0.732822,0.168345,-0.6589649999999999
74999999,3.8784730000000005,0.9384459999999999,1.601626,-0.018292,0.733155,0.170087,-0.658195
87499999,3.8782089999999996,0.9405469999999999,1.6011879999999998,-0.02075,0.7327859999999999,0.164415,-0.659971
100000000,3.8778379999999997,0.94263,1.600754,-0.024259,0.732019,0.166413,-0.6602020000000001
112500000,3.877436,0.944514,1.600319,-0.025849,0.7312960000000001,0.168238,-0.660481
125000000,3.877012,0.946549,1.599842,-0.022595,0.732672,0.164475,-0.660022
137499999,3.8766,0.948205,1.599352,-0.022675,0.7328359999999999,0.163104,-0.6601779999999999
149999999,3.876117,0.949883,1.598853,-0.024862000000000002,0.732691,0.165719,-0.659608
162500000,3.875548,0.9512309999999999,1.5983049999999999,-0.02514,0.732822,0.163192,-0.660082
175000000,3.874968,0.952799,1.5977059999999998,-0.027055000000000003,0.733105,0.162327,-0.659905
187500000,3.874517,0.9540549999999999,1.597244,-0.030804,0.731776,0.160701,-0.661611
199999999,3.873925,0.955292,1.5966559999999999,-0.033625999999999996,0.731323,0.160046,-0.662134
212499999,3.8731709999999997,0.956594,1.596044,-0.034176,0.731734,0.159723,-0.66173
225000000,3.872581,0.95788,1.5956190000000001,-0.032188,0.732849,0.157252,-0.661187
237500000,3.8718790000000003,0.95925,1.5951030000000002,-0.030898000000000002,0.733059,0.154084,-0.6617609999999999
250000000,3.8710410000000004,0.96072,1.594408,-0.032527,0.732658,0.154659,-0.661993
262499999,3.870317,0.962139,1.593879,-0.03261,0.733191,0.152488,-0.661903
274999999,3.869497,0.963148,1.593459,-0.032889999999999996,0.733308,0.150015,-0.662324
287500000,3.8685400000000003,0.964414,1.5927879999999999,-0.034988,0.733254,0.152091,-0.661802
300000000,3.867633,0.965879,1.592164,-0.039011000000000004,0.732078,0.148519,-0.6636880000000001
312500000,3.866647,0.967202,1.5915700000000002,-0.039095,0.732267,0.14727300000000002,-0.6637529999999999
324999999,3.865514,0.968443,1.590937,-0.038098,0.732887,0.147553,-0.663063
337499999,3.8644089999999998,0.9698049999999999,1.590349,-0.037086,0.732596,0.146035,-0.663778
350000000,3.863075,0.971735,1.589547,-0.034375,0.732599,0.150095,-0.6630149999999999
362500000,3.861905,0.9730719999999999,1.58881,-0.032468000000000004,0.732992,0.151613,-0.662331
375000000,3.860618,0.974246,1.588172,-0.031616000000000005,0.732984,0.153085,-0.662042
387499999,3.859234,0.975124,1.587523,-0.032033,0.73254,0.15398599999999998,-0.662305
399999999,3.8578080000000003,0.9758450000000001,1.586898,-0.028924000000000002,0.73339,0.153497,-0.66162
412500000,3.856793,0.9765739999999999,1.586374,-0.034291,0.733925,0.142033,-0.663328
425000000,3.854823,0.977601,1.585348,-0.031581,0.732808,0.150285,-0.66288
437500000,3.8532879999999996,0.9781219999999999,1.584674,-0.030420999999999997,0.732938,0.152124,-0.662371
449999999,3.8514779999999997,0.9787170000000001,1.583753,-0.031385,0.733054,0.153136,-0.661964
462499999,3.8496940000000004,0.9791610000000001,1.5829520000000001,-0.030186,0.733638,0.15304,-0.661395
475000000,3.8479080000000003,0.979713,1.5823120000000002,-0.031101999999999998,0.733848,0.14768599999999998,-0.6623359999999999
487500000,3.8460769999999997,0.9803129999999999,1.581424,-0.033737,0.732916,0.146368,-0.6635300000000001
500000000,3.8441669999999997,0.9808629999999999,1.580611,-0.034733999999999994,0.731931,0.150381,-0.663669
512499999,3.8419440000000002,0.9814139999999999,1.579808,-0.034571,0.7328100000000001,0.151274,-0.662503
524999999,3.839948,0.98177,1.579023,-0.035533999999999996,0.732391,0.147634,-0.6637350000000001
537500000,3.837797,0.982442,1.578144,-0.036022000000000005,0.733135,0.149631,-0.662439
550000000,3.835496,0.9830690000000001,1.577061,-0.036795999999999995,0.733793,0.148548,-0.661912
562500000,3.8333839999999997,0.9834959999999999,1.576303,-0.039929,0.733765,0.1408,-0.663453
574999999,3.8308379999999995,0.984402,1.57541,-0.036261,0.7342489999999999,0.147563,-0.6616569999999999
587499999,3.828813,0.984614,1.5746360000000001,-0.039363,0.732125,0.139071,-0.66566
600000000,3.826602,0.985166,1.573796,-0.044341000000000005,0.729142,0.134996,-0.669449
612500000,3.824089,0.98625,1.572743,-0.045607999999999996,0.728304,0.139837,-0.6692819999999999
625000000,3.820556,0.987025,1.5714569999999999,-0.039252999999999996,0.735739,0.142174,-0.66101
637499999,3.818253,0.9876950000000001,1.5706579999999999,-0.044926,0.72941,0.140671,-0.667949
649999999,3.8148980000000003,0.9886659999999999,1.569597,-0.03538,0.735078,0.142847,-0.661818
662500000,3.812496,0.9895129999999999,1.568633,-0.042114,0.7306520000000001,0.136127,-0.667716
675000000,3.8091180000000002,0.990625,1.56726,-0.039603,0.734175,0.147377,-0.6615880000000001
687500000,3.806579,0.9910260000000001,1.56647,-0.044935,0.731055,0.136639,-0.666985
699999999,3.8028370000000002,0.992431,1.565226,-0.036048000000000004,0.734911,0.14401,-0.661716
712499999,3.8002730000000002,0.99315,1.56429,-0.042371,0.730167,0.13784100000000002,-0.667878
725000000,3.796435,0.9942979999999999,1.563029,-0.035407,0.735374,0.142235,-0.66162
737500000,3.7931449999999995,0.9952059999999999,1.562067,-0.033255,0.735117,0.142465,-0.661968
750000000,3.790319,0.99608,1.56104,-0.040732,0.730295,0.136739,-0.6680659999999999
762499999,3.7871699999999997,0.996983,1.5599020000000001,-0.045195,0.727909,0.137164,-0.670293
774999999,3.7834980000000002,0.9978379999999999,1.558718,-0.043894999999999997,0.730715,0.139462,-0.6668430000000001
787500000,3.779857,0.9988030000000001,1.557555,-0.04358,0.731306,0.136407,-0.6668470000000001
800000000,3.775379,1.0004629999999999,1.5560370000000001,-0.037444,0.734959,0.141732,-0.662077
812500000,3.771642,1.001555,1.554814,-0.03714,0.735251,0.141509,-0.661817
824999999,3.768465,1.00248,1.553758,-0.044969,0.7300760000000001,0.13608,-0.668168
837499999,3.763821,1.003918,1.552255,-0.037275,0.735082,0.14052,-0.662208
850000000,3.7598629999999997,1.0053219999999998,1.551093,-0.033939,0.735762,0.140342,-0.661669
862500000,3.7558,1.006616,1.549833,-0.033973,0.735336,0.14349,-0.661466
875000000,3.7523370000000003,1.0080959999999999,1.548745,-0.041644,0.728862,0.137727,-0.669371
887499999,3.748333,1.009215,1.547428,-0.044265,0.7288060000000001,0.14011500000000002,-0.668767
899999999,3.7441139999999997,1.010646,1.546143,-0.042449,0.7308819999999999,0.142953,-0.666014
912500000,3.7395940000000003,1.012058,1.544728,-0.041533999999999995,0.734224,0.137232,-0.6635939999999999
925000000,3.734946,1.013945,1.543284,-0.038343,0.734132,0.143241,-0.662617
937500000,3.729945,1.015682,1.542024,-0.030441000000000003,0.736197,0.14089100000000002,-0.661239
949999999,3.7254959999999997,1.016865,1.540369,-0.040243,0.734741,0.142845,-0.6619149999999999
962499999,3.7208379999999996,1.018578,1.539239,-0.031613,0.735961,0.14355199999999999,-0.660874
975000000,3.7160830000000002,1.0197530000000001,1.537682,-0.03613,0.73537,0.143406,-0.661333
987500000,3.712279,1.021132,1.536504,-0.045274,0.729333,0.137773,-0.668612
1000000000,3.7066589999999997,1.022979,1.534991,-0.032769,0.735468,0.145091,-0.661031
1012499999,3.7024449999999995,1.024201,1.5337100000000001,-0.040486,0.730904,0.136142,-0.6675369999999999
1024999999,3.696728,1.025706,1.53198,-0.036694,0.734258,0.145649,-0.662046
