time [ns],x [m],y [m],z [m],a [rad],b [rad],c [rad],d [rad]
0,-1.477632,0.821684,3.0448009999999996,-0.086015,0.951414,0.025243,0.294577
12499999,-1.477236,0.8248270000000001,3.045195,-0.09764,0.9509690000000001,0.043606,0.29021199999999997
25000000,-1.47522,0.8279120000000001,3.047156,-0.080122,0.9424,0.035071,0.32285
37500000,-1.476105,0.8315959999999999,3.048502,-0.06458,0.944664,0.02951,0.320262
49999999,-1.478815,0.8304379999999999,3.047552,-0.039069,0.956594,0.014145,0.288446
62500000,-1.47823,0.835274,3.0490180000000002,-0.08784600000000001,0.948881,0.036881,0.30091100000000004
74999999,-1.4786350000000001,0.838744,3.049824,-0.100222,0.9470040000000001,0.049947000000000005,0.301071
87500000,-1.4786350000000001,0.838744,3.049824,-0.100222,0.9470040000000001,0.049947000000000005,0.301071
100000000,-1.4786350000000001,0.838744,3.049824,-0.100222,0.9470040000000001,0.049947000000000005,0.301071
112499999,-1.4802469999999999,0.8434860000000001,3.052879,-0.083807,0.9494440000000001,0.036542000000000005,0.300327
125000000,-1.479571,0.844247,3.054377,-0.031014,0.950092,0.035343,0.30840700000000004
137499999,-1.482726,0.843144,3.055028,-0.011649,0.9575450000000001,0.000998,0.288048
150000000,-1.480566,0.8481770000000001,3.057105,-0.040323000000000005,0.9466629999999999,0.018008,0.319185
162500000,-1.482111,0.8481879999999999,3.056873,-0.066834,0.9524030000000001,0.020653,0.296709
174999999,-1.482625,0.850088,3.05804,-0.069284,0.953232,0.018836000000000002,0.293586
187500000,-1.482625,0.850088,3.05804,-0.069284,0.953232,0.018836000000000002,0.293586
199999999,-1.4830219999999998,0.8538899999999999,3.0596419999999998,-0.056115,0.952792,0.006864,0.298315
212500000,-1.482568,0.858082,3.06018,-0.07859400000000001,0.949569,0.025751,0.302453
225000000,-1.483012,0.857877,3.061466,-0.055716999999999996,0.9521209999999999,-0.011566,0.30038000000000004
237499999,-1.482947,0.86275,3.062084,-0.06251,0.951307,0.011269,0.301629
250000000,-1.482947,0.86275,3.062084,-0.06251,0.951307,0.011269,0.301629
262499999,-1.484931,0.866505,3.063514,0.004973,0.958148,-0.025442,0.285099
275000000,-1.484437,0.869288,3.064542,0.008549,0.958426,-0.023862,0.28421199999999996
287500000,-1.483933,0.8731700000000001,3.065688,-0.008654,0.9572459999999999,-0.029657999999999997,0.287621
299999999,-1.483746,0.8767209999999999,3.066642,0.006221,0.9574299999999999,-0.029278,0.287109
312500000,-1.483062,0.879287,3.066758,0.00799,0.9597620000000001,-0.028062,0.27929499999999996
324999999,-1.483314,0.8843780000000001,3.068404,0.014141999999999998,0.958364,-0.023303,0.28424499999999997
337500000,-1.482251,0.8873610000000001,3.069118,0.014605000000000002,0.959209,-0.021271,0.281519
350000000,-1.4816040000000001,0.8901680000000001,3.069465,0.005992,0.9592700000000001,-0.025604000000000002,0.281263
362499999,-1.480959,0.89523,3.070657,0.023055000000000003,0.957625,-0.026597000000000003,0.28585900000000003
375000000,-1.479696,0.899302,3.07165,0.013113999999999999,0.959973,-0.016585,0.27929299999999996
