time [ns],ax [m s-2],ay [m s-2],az [m s-2],p [rad/s],q [rad/s],r [rad/s]
0,2.7973828125,12.72234375,-1.7579443359375,-0.14487596330031055,-0.05752427538452234,0.23116236597412107
1998000,-2.1315673828125,5.7336767578125,-4.6032275390625,0.1757686153004729,-0.17363810307316632,-0.757402947439508
5993000,3.4057177734375004,8.765771484375,-2.3135888671875002,-0.138484368361742,0.07243798165015528,0.8575378044264874
8989000,0.5460644531250001,9.254355468750001,-2.12677734375,0.039414784133172724,-0.17150757420110294,-0.6072007285380663
10987000,-4.1481738281250005,8.593330078125,-2.0261865234375,0.019174759848570515,0.012783172192083043,-0.5070658382615733
12985000,1.1256591796875,7.3814501953125005,-2.117197265625,-0.05326321764039556,0.08096009713840883,0.6881608256764751
14982000,5.8677978515625,2.481240234375,-2.1124072265625,0.01597896550017813,-0.06285059756468081,0.48576054954093945
15981000,3.324287109375,7.8700341796875,-1.3364208984375001,-0.02024002428460221,-0.16511598758491275,-0.22796657266602596
17979000,-5.0055908203125,10.547666015625001,-2.1603076171875,0.07350324608618697,-0.1107874930249179,-0.9619337191575936
19976000,-2.7638525390625,6.2174707031250005,-1.9974462890625,0.2503371258226916,0.1395496327977737,0.2908171910366528
21974000,7.6257421875,7.117998046875,-0.7711962890625,0.0031957930480207607,0.001065264371013114,1.054611725092351
24970000,-2.5722509765625,10.945239257812501,-3.908671875,0.10759169971682281,-0.19813916845713853,-1.1483550620421674
25969000,-7.156318359375001,9.881850585937501,-4.042792968750001,0.3259709174256987,-0.06285059756468081,-1.2921657609064463
28965000,3.803291015625,8.5023193359375,-1.5950830078125,-0.0,0.06391586200071252,1.1355718888097872
29964000,7.563471679687501,17.248930664062502,0.47900390625,-0.2705771501072938,-0.035153726389045944,1.2186625148202594
32960000,-1.9208056640625002,5.206772460937501,-4.727768554687501,0.09480852648444246,-0.11824434407713978,-1.1504855909142309
34958000,-6.22705078125,4.0284228515625005,-3.9517822265625,-0.03728425526110934,0.04900215989626878,-0.42930153443125957
35957000,-1.005908203125,8.9142626953125,-1.6525634765625001,-0.26205503461904023,0.03621899082507764,0.4538026164599886
37954000,5.2115625,9.8435302734375,-1.0969189453125001,-0.4708468474364957,0.004261057484052456,0.9193231417163257
40951000,-2.7925927734375002,5.8007373046875,-2.5004003906250003,-0.23542342371824784,-0.0916127331763474,-0.9342368438207695
43947000,-0.052690429687500005,10.67220703125,-0.01916015625,-0.011717907756051346,0.056459010948490644,0.5379585069064925
45945000,5.594765625,-0.49337402343750003,-3.0799951171875,0.09480852648444246,-0.07456851052221868,0.4612594675122104
46943000,4.742138671875,1.4944921875000001,-3.3769775390625,0.034088459872419645,-0.15020228548046904,-0.13635383948967858
49940000,-4.4212060546875005,17.565073242187502,-0.7616162109375001,0.34514567727426926,0.06178533312864912,-0.297208777652843
52936000,5.939648437500001,1.5088623046875,-4.8139892578125005,0.36751619714142125,-0.09693905535650586,0.546480622394746
55933000,-4.555327148437501,17.857265625,-1.427431640625,-0.08096009713840883,-0.05432848207642726,-0.7478155675152228
57930000,-3.4536181640625,3.3194970703125,-5.4031640625,-0.013848436628114738,0.07137271721412358,-0.13102751730952011
62924000,-2.29921875,11.1368408203125,-0.6466552734375001,-0.4846952851049077,-0.05965480425658574,-0.5635248866607667
65921000,-1.62861328125,5.125341796875,-2.040556640625,-0.30679615757712825,-0.010652644360316953,0.11930960851317148
68917000,4.588857421875001,8.5023193359375,-0.17244140625,-0.06072006869261743,0.017044229936209822,0.46445526082030547
72912000,-3.650009765625,12.6840234375,-1.4561718750000001,0.4399541787915765,-0.06391586200071252,-0.4058657168385623
74910000,1.2022998046875,9.3166259765625,-2.442919921875,0.48256475623284434,0.06391586200071252,0.46978158300046396
75908000,3.6068994140625,1.5376025390625,-5.307363281250001,0.44634576540776666,0.04900215989626878,0.583764910945369
78905000,-0.8382568359375,16.34361328125,-2.0549267578125,0.10120011310063265,-0.09800431979253756,-0.48256475623284434
81901000,-1.2166699218750001,2.9746142578125,-5.9156982421875,0.089482204304284,-0.007456850532073217,0.01597896550017813
84898000,3.343447265625,10.9643994140625,-0.7137158203125,-0.5241100692380805,-0.03302319543638795,0.3387540906580791
85896000,0.5843847656250001,19.390078125000002,1.37953125,-0.5826996465093373,-0.052197953204363864,-0.08415589044650393
88893000,-3.08478515625,-0.028740234375,-4.761298828125001,-0.1576591365326909,-0.04900215989626878,-0.30146983539696975
89892000,-0.9675878906250001,2.1124072265625,-3.036884765625,-0.18216020191666307,-0.014913701064146434,0.20453075507332868
92888000,1.2310400390625,15.122153320312501,1.2693603515625,-0.0671116553088076,-0.07030745277809189,0.17044230976507124
94885000,-1.504072265625,2.768642578125,-4.981640625,0.34514567727426926,-0.16085492984078598,-0.6285060172587003
95884000,-3.0799951171875,4.7756689453125,-3.4631982421875,0.42397521225110113,-0.03089266656432456,-0.3206445952455403
99879000,3.5254687500000004,7.2616992187500005,-4.1721240234375,0.2631202990550719,-0.14700649217237394,0.18216020191666307
101877000,-1.07296875,5.6570361328125,-5.6187158203125005,0.46871631856443224,-0.16618125202094444,-0.7030744612018917
104873000,1.1160791015625,10.1021923828125,0.26345214843750003,0.15020228548046904,0.07243798165015528,0.6135923151542565
105872000,2.77822265625,5.23072265625,-3.2715966796875002,-0.0884169398682523,-0.09267799761237908,0.546480622394746
110866000,-0.6658154296875001,6.80185546875,-0.890947265625,0.3302319751698255,0.1565938720966592,0.44634576540776666
114861000,-1.906435546875,16.1184814453125,-0.7807763671875,0.2673813567991987,-0.07882956826634545,-0.5049353093895099
